year,acorn_LSOA2011,rni,rni_N,rni_sa1,rni_sa1_N,rni_sa2,rni_sa2_N,rni_health_vuln,rni_health,rni_big_pc,rni_big_sa1_pc,rni_big_sa2_pc,lowEPC_pc,poverty_pc,eligibility_pc,eligibility_sa1_pc,eligibility_sa2_pc,imd_dec,imd_inc_score
2025,E01006447,1.74821917579867,511,0.678012619446905,511,1.25536137487096,458,0.986815871144844,1.00363631648341,0.0645792563600783,0.185909980430528,0.0589519650655022,0.39334637964775,0.405088062622309,0.154598825831703,0.39334637964775,0.141921397379913,1,0.415
2025,E01006448,1.54077646763821,763,0.516425838372061,763,1.25422682328867,637,1.01621944575392,1.00591235808002,0.0747051114023591,0.171690694626474,0.0816326530612245,0.290956749672346,0.529488859764089,0.132372214941022,0.290956749672346,0.136577708006279,1,0.519
2025,E01006449,0.994952464751731,595,0.732669158076636,595,0.98261604948121,400,1.00811878189354,1.004420793503,0.0638655462184874,0.250420168067227,0.0875,0.41344537815126,0.191596638655462,0.0823529411764706,0.41344537815126,0.1025,2,0.2
2025,E01006450,1.13885220648905,702,0.445782933947776,702,1.04205045805639,553,1.0111064574013,1.0017097341638,0.0598290598290598,0.13960113960114,0.0741410488245931,0.254985754985755,0.343304843304843,0.0968660968660969,0.254985754985755,0.112115732368897,1,0.35
2025,E01006451,2.19744241653018,501,1.25809733167284,501,2.09910700084874,298,1.01465647062244,1.00267162087483,0.12375249500998,0.445109780439122,0.171140939597315,0.708582834331337,0.249500998003992,0.18562874251497,0.708582834331337,0.221476510067114,2,0.259
2025,E01006452,1.97565957385041,549,1.3090242827618,549,1.90153620212019,343,1.00343486901183,0.999423965218276,0.116575591985428,0.448087431693989,0.154518950437318,0.743169398907104,0.238615664845173,0.165755919854281,0.743169398907104,0.201166180758018,2,0.228
2025,E01006453,1.28525674993342,476,0.455849979440722,476,1.07078352752239,385,1.00211514518109,1.00473061578818,0.0609243697478992,0.142857142857143,0.0727272727272727,0.260504201680672,0.430672268907563,0.111344537815126,0.260504201680672,0.116883116883117,1,0.421
2025,E01006454,0.497093933297464,608,0.667473958122149,608,0.584099902358935,375,1.02061896899262,1.00215446169328,0.0345394736842105,0.263157894736842,0.0533333333333333,0.370065789473684,0.136513157894737,0.0411184210526316,0.370065789473684,0.0613333333333333,4,0.143
2025,E01006455,1.28819539577595,696,0.504289698873775,696,1.09939959961983,505,1.00886349913034,1.0046441220455,0.0704022988505747,0.179597701149425,0.0871287128712871,0.281609195402299,0.419540229885057,0.109195402298851,0.281609195402299,0.116831683168317,1,0.431
2025,E01006456,1.41868901871955,600,1.01759647289394,600,1.28350886481858,349,1.00896422520571,1.00228699511297,0.0816666666666667,0.345,0.100286532951289,0.575,0.193333333333333,0.12,0.575,0.137535816618911,2,0.19
2025,E01006457,1.0790264607008,481,0.990143231911912,481,1.41351413743301,236,1.02514331484402,1.00111024504423,0.0727650727650728,0.382536382536383,0.127118644067797,0.553014553014553,0.151767151767152,0.0893970893970894,0.553014553014553,0.148305084745763,4,0.14
2025,E01006458,1.06835848416135,587,0.599471915561425,587,1.01526256383907,391,1.01520521253631,1.00446693122051,0.0579216354344123,0.221465076660988,0.0792838874680307,0.333901192504259,0.281090289608177,0.0902896081771721,0.333901192504259,0.107416879795396,1,0.298
2025,E01006459,1.02206011627747,663,1.06624272134976,663,1.05680773869355,398,0.994148420058231,1.00041560667666,0.0588235294117647,0.346907993966818,0.0804020100502513,0.607843137254902,0.153846153846154,0.085972850678733,0.607843137254902,0.113065326633166,3,0.156
2025,E01006460,1.59794548048296,563,0.605549543817395,563,1.44416370603315,460,1.01026843092287,1.00770503007229,0.0799289520426288,0.202486678507993,0.0978260869565217,0.339253996447602,0.410301953818828,0.136767317939609,0.339253996447602,0.156521739130435,1,0.427
2025,E01006461,1.04071189648017,551,0.546192626885061,551,1.00192805761267,416,1.00192325523733,1.00742745544354,0.0598911070780399,0.176043557168784,0.0793269230769231,0.310344827586207,0.301270417422868,0.0871143375680581,0.310344827586207,0.105769230769231,1,0.317
2025,E01006462,0.783079072076592,627,0.887426528242818,627,0.936469816660626,364,0.996339142631977,1.00042637061425,0.0494417862838915,0.290271132376396,0.0796703296703297,0.507177033492823,0.12280701754386,0.0653907496012759,0.507177033492823,0.0989010989010989,5,0.116
2025,E01006463,0.818522845263958,1021,0.513686640018226,1021,0.707032085951937,823,0.972426185726308,0.99991347925486,0.0372184133202742,0.131243878550441,0.0437424058323208,0.299706170421156,0.267384916748286,0.0705190989226249,0.299706170421156,0.0777642770352369,1,0.258
2025,E01006464,0.429936557913182,1161,0.384942597818539,1161,0.388394451612039,892,1.00242501553076,0.99973753680596,0.024978466838932,0.127476313522825,0.0302690582959641,0.217915590008613,0.180878552971576,0.0361757105943152,0.217915590008613,0.0414798206278027,2,0.184
2025,E01006465,0.673889274362593,549,0.94441629248326,549,0.710779748065849,287,1.00484910292023,1.00189458289132,0.0418943533697632,0.31511839708561,0.0696864111498258,0.537340619307832,0.100182149362477,0.0564663023679417,0.537340619307832,0.0731707317073171,5,0.096
2025,E01006466,1.31642786223413,690,1.05147722164717,690,1.4197950653681,446,0.997329702772624,1.00205500047977,0.072463768115942,0.301449275362319,0.105381165919283,0.607246376811594,0.153623188405797,0.111594202898551,0.607246376811594,0.152466367713004,3,0.17
2025,E01006467,1.20381882821975,511,0.398543093652672,511,0.964222402538554,439,1.00950027632505,1.00739521433063,0.0567514677103718,0.123287671232877,0.0637813211845103,0.225048923679061,0.440313111545988,0.103718199608611,0.225048923679061,0.104783599088838,1,0.427
